round_no,match_no,home_team,away_team,kickoff_at,venue,toto_result,product_type,competition
1308,3,群馬,栃木,2022-06-12,正田スタ,0,mini_toto,J.League
1308,4,東京V,岩手,2022-06-12,味スタ,0,mini_toto,J.League
1308,5,秋田,大宮,2022-06-12,ソユスタ,2,mini_toto,J.League
1308,6,甲府,千葉,2022-06-11,JITス,0,mini_toto,J.League
1308,7,琉球,長崎,2022-06-11,タピスタ,2,mini_toto,J.League
1308,8,群馬,栃木,2022-06-12,正田スタ,0,mini_toto,J.League
1308,9,東京V,岩手,2022-06-12,味スタ,0,mini_toto,J.League
1308,10,秋田,大宮,2022-06-12,ソユスタ,2,mini_toto,J.League
1308,11,大分,新潟,2022-06-11,昭和電ド,2,mini_toto,J.League
1308,12,山口,岡山,2022-06-12,みらスタ,2,mini_toto,J.League
1308,13,水戸,山形,2022-06-12,Ksスタ,1,mini_toto,J.League
1309,1,湘南,F東京,2022-06-18,レモンS,1,mini_toto,J.League
1309,2,磐田,鳥栖,2022-06-18,ヤマハ,1,mini_toto,J.League
1309,3,柏,神戸,2022-06-18,三協F柏,1,mini_toto,J.League
1309,4,広島,C大阪,2022-06-18,Eスタ,1,mini_toto,J.League
1309,5,岩手,徳島,2022-06-18,いわスタ,1,mini_toto,J.League
1309,6,湘南,F東京,2022-06-18,レモンS,1,mini_toto,J.League
1309,7,磐田,鳥栖,2022-06-18,ヤマハ,1,mini_toto,J.League
1309,8,柏,神戸,2022-06-18,三協F柏,1,mini_toto,J.League
1309,9,広島,C大阪,2022-06-18,Eスタ,1,mini_toto,J.League
1309,10,岩手,徳島,2022-06-18,いわスタ,1,mini_toto,J.League
1309,11,熊本,水戸,2022-06-18,えがおS,0,mini_toto,J.League
1309,12,山形,甲府,2022-06-18,NDスタ,2,mini_toto,J.League
1309,13,岡山,琉球,2022-06-18,Cスタ,1,mini_toto,J.League
1310,1,福岡,岩手,2022-06-22,いわスタ,1,mini_toto,J.League
1310,2,F東京,長崎,2022-06-22,トラスタ,0,mini_toto,J.League
1310,3,神戸,山口,2022-06-22,みらスタ,1,mini_toto,J.League
1310,4,浦和,群馬,2022-06-22,正田スタ,2,mini_toto,J.League
1310,5,川崎,東京V,2022-06-22,等々力,2,mini_toto,J.League
1310,6,福岡,岩手,2022-06-22,いわスタ,1,mini_toto,J.League
1310,7,F東京,長崎,2022-06-22,トラスタ,0,mini_toto,J.League
1310,8,神戸,山口,2022-06-22,みらスタ,1,mini_toto,J.League
