roundNo,snapshotDate,homeTeam,awayTeam,prediction,actual,correct,probH,probD,probA,confidence,margin,entropy,isDraw
1619,2025-03-29,横浜FC,湘南ベルマーレ,H,H,True,0.4398730813760344,0.24519162098788913,0.31493529763607686,0.4398730813760344,0.12493778373995756,1.0697962300437416,False
1619,2025-03-29,FC大阪,アルビレックス新潟,A,D,False,0.3344378470187214,0.25556943823133127,0.4099927147499476,0.4099927147499476,0.07555486773122616,1.080530656709401,True
1619,2025-03-29,徳島ヴォルティス,高知,H,H,True,0.45029129607043417,0.18958603167685067,0.3601226722527152,0.45029129607043417,0.09016862381771895,1.0423317155433969,False
1619,2025-03-29,いわきFC,ジュビロ磐田,H,H,True,0.3616743729427921,0.32345044091714353,0.3148751861400647,0.3616743729427921,0.038223932025648555,1.0967714960526878,False
1619,2025-03-29,モンテディオ山形,栃木シティ,A,A,True,0.34993074101920957,0.28630607137002534,0.3637631876107653,0.3637631876107653,0.013832446591555747,1.0933718579900469,False
1620,2025-04-05,ジェフユナイテッド千葉,東京ヴェルディ,H,H,True,0.4062147493316161,0.20869858928033677,0.3850866613880478,0.4062147493316161,0.021128087943568297,1.0604335299910406,False
1620,2025-04-05,ファジアーノ岡山,ヴィッセル神戸,A,A,True,0.3387464954672377,0.1773793357900687,0.4838741687426934,0.4838741687426934,0.14512767327545573,1.0247244458018698,False
1620,2025-04-05,V・ファーレン長崎,清水エスパルス,H,A,False,0.42910154759255886,0.16976358483403556,0.40113486757340605,0.42910154759255886,0.027966680019152812,1.0305160582002788,False
1620,2025-04-05,名古屋グランパス,セレッソ大阪,A,A,True,0.29859302184941516,0.1535398156851927,0.5478671624653927,0.5478671624653927,0.24927414061597752,0.9782677036908014,False
1620,2025-04-05,ジュビロ磐田,ヴァンフォーレ甲府,A,H,False,0.36557470255853874,0.21173964074206555,0.42268565669939623,0.42268565669939623,0.057110954140857484,1.060562195635302,False
1620,2025-04-05,柏レイソル,横浜F・マリノス,H,H,True,0.5222658083277689,0.16712459422850853,0.31060959744372246,0.5222658083277689,0.21165621088404646,1.0014116936477258,False
1620,2025-04-05,水戸ホーリーホック,鹿島アントラーズ,A,D,False,0.22771525796258243,0.22543861921033223,0.546846122827086,0.546846122827086,0.3191308648645036,1.0028482313987714,True
1620,2025-04-05,ガンバ大阪,京都サンガF.C.,H,H,True,0.43301128919868553,0.19868082816247346,0.3683078826388413,0.43301128919868553,0.06470340655984425,1.0513852202875928,False
1620,2025-04-05,サンフレッチェ広島,アビスパ福岡,H,A,False,0.4906469799521372,0.20895218718923594,0.30040083285862657,0.4906469799521372,0.19024614709351062,1.0377748486929135,False
1620,2025-04-05,川崎フロンターレ,浦和レッズ,H,H,True,0.42466445067696135,0.20173470142277336,0.3736008479002654,0.42466445067696135,0.05106360277669597,1.0544788486465393,False
1620,2025-04-05,FC東京,町田,H,D,False,0.46406459615700024,0.22836411988283806,0.30757128396016237,0.46406459615700024,0.15649331219683787,1.0561697566293407,True
1620,2025-04-05,八戸,モンテディオ山形,H,A,False,0.4139930143995804,0.2744464340691593,0.3115605515312606,0.4139930143995804,0.1024324628683198,1.0832919535176777,False
