round_no,fixture_count,jleague_in_scope_count,out_of_scope_count,matched_count,coverage_rate,no_team_match_count,date_mismatch_count,inferred_round_date
1557,6,5,1,0,0.0,1,4,2025-07-30
1558,13,13,0,13,1.0,0,0,2025-08-09
1559,2,0,2,0,0.0,0,0,0001-08-11
1560,13,13,0,13,1.0,0,0,2025-08-16
1561,2,0,2,0,0.0,0,0,0001-08-20
1562,13,13,0,13,1.0,0,0,2025-08-23
1563,5,0,5,0,0.0,0,0,2025-08-20
1564,13,13,0,13,1.0,0,0,2025-08-30
1565,6,0,6,0,0.0,0,0,2025-08-27
1566,13,13,0,13,1.0,0,0,2025-09-06
1567,13,0,13,0,0.0,0,0,2025-09-09
1568,13,13,0,13,1.0,0,0,2025-09-13
1570,13,13,0,13,1.0,0,0,2025-09-20
1571,6,5,1,5,1.0,0,0,2025-09-16
1572,13,13,0,13,1.0,0,0,2025-09-27
1574,13,13,0,13,1.0,0,0,2025-10-04
1575,2,0,2,0,0.0,0,0,0001-10-08
1576,13,0,13,0,0.0,0,0,2025-10-10
1577,6,5,1,5,1.0,0,0,2025-10-05
1578,13,0,13,0,0.0,0,0,2025-10-13
1579,2,0,2,0,0.0,0,0,0001-10-17
1580,13,13,0,13,1.0,0,0,2025-10-18
1582,13,13,0,13,1.0,0,0,2025-10-25
1583,13,13,0,13,1.0,0,0,2025-11-02
1585,13,13,0,13,1.0,0,0,2025-11-08
1586,13,0,13,0,0.0,0,0,2025-11-14
1587,6,5,1,5,1.0,0,0,2025-11-08
1588,13,0,13,0,0.0,0,0,2025-11-18
1589,13,13,0,13,1.0,0,0,2025-11-23
1591,13,13,0,13,1.0,0,0,2025-11-29
1592,6,5,1,5,1.0,0,0,2025-11-29
1593,13,0,13,0,0.0,0,0,2025-12-06
1595,13,0,13,0,0.0,0,0,2025-12-13
1596,13,0,13,0,0.0,0,0,2025-12-20
1597,6,0,6,0,0.0,0,0,2025-12-20
1598,6,0,6,0,0.0,0,0,2025-12-26
1599,6,0,6,0,0.0,0,0,2025-12-29
1600,5,0,5,0,0.0,0,0,0001-01-04
1601,6,0,6,0,0.0,0,0,2025-12-30
