round_no,match_no,home_team,away_team,reason,kickoff_at,date_distance_days,closest_prediction_date
1507,3,ホッフェン,ヴォルフス,out_of_v6_jleague_scope,2025-01-11,,
1507,4,パウリ,フランクフル,out_of_v6_jleague_scope,2025-01-11,,
1507,5,メンヘン,バイエルン,out_of_v6_jleague_scope,2025-01-12,,
1507,6,バイエルン,1,out_of_v6_jleague_scope,2025-01-04,,
1508,1,ノッティン,リヴァプ,out_of_v6_jleague_scope,2025-01-15,,
1508,2,レスター,クリスタル,out_of_v6_jleague_scope,2025-01-16,,
1508,3,アーセナル,トテナム,out_of_v6_jleague_scope,2025-01-16,,
1508,4,チェルシー,ボンマウス,out_of_v6_jleague_scope,2025-01-15,,
1508,5,ブレント,マンC,out_of_v6_jleague_scope,2025-01-15,,
1508,6,ホルスタイン,ドルト,out_of_v6_jleague_scope,2025-01-15,,
1508,7,ボーフム,パウリ,out_of_v6_jleague_scope,2025-01-16,,
1508,8,ウニオン,アウグス,out_of_v6_jleague_scope,2025-01-16,,
1508,9,ノッティン,リヴァプ,out_of_v6_jleague_scope,2025-01-15,,
